Коди помилок Код помилки 	Error text 	Текст помилки (UA)
20001701703 	Problems with getting Sid 	Проблеми з отриманням СИД
20001701704 	Had problems with sending XML to TAS 	Виникли проблеми з відправкою XML в ТАС
20001701705 	Can't take info about payment 	Не можу прийняти інформацію про оплату
20001701706 	Couldn't get payment status 	Не вдалося отримати статус платежу
20001701707 	Couldn't get data for receipt 	Не вдалося отримати дані для отримання
20001701708 	You can't pay document with this Status 	Ви не можете оплатити документ з цим статусом
20001701709 	RefEW is undefined 	Ідентифікатор документу не визначений
20001701710 	PreauthorizationAmount is empty 	Сума попередньої авторизації порожня
20001701711 	TransactionId is empty 	Ідентифікатор транзакції порожній
20001701712 	OrderDescription is empty 	Опис замовлення порожній
20001701713 	SuccessUrl is empty 	Успішний URL порожній
20001701714 	ErrorUrl is empty 	URL-адреса помилки порожня
20001701715 	Barcode for Documents are empty 	Штрих-код для документів порожній
20001701716 	Documents data is fail 	Дані документів неправильні
20001701717 	RefundAmount is empty 	Сума повернення коштів порожня
20001701718 	This card doesn't connect with any Email 	Ця карта не пов'язана ні з одним електронним листом
20001701719 	LoyaltyCardNumber is not exist 	Номер карти лояльності не існує
20001701720 	Sid is empty 	СІД порожній
20001701721 	Numbers of documents can't be more than 100 	Кількість документів не може бути більше 100
20001701722 	Document doesn't belong to user 	Документ не належить користувачу
30001401723 	Language is not valid 	Мова недійсна
20000301725 	Redirect RecipientPhone does not match with RecipientsPhone in document 	Телефон одержувача переадресації не збігається з телефоном одержувача у документі
20000301726 	Redirect Contact Sender contains less than 2 words 	Контакт відправника переадресації містить менше 2 слів
20000301727 	Redirect Contact Sender contains repeated words 	Контакт відправника переадресації містить повторювані слова
20000301728 	Redirect Contact Sender contains incorrect symbols 	Контакт відправника переадресації містить неправильні символи
20000301729 	Redirect Contact Sender starts with incorrect symbols 	Контакт відправника переадресації починається з неправильних символів
20000301730 	Redirect Contact Sender ends with incorrect symbols 	Контакт відправника переадресації закінчується неправильними символами
20000301731 	Redirect Contact Sender contains repeatting symbols 	Контакт відправника переадресації містить повторювані символи
20000301732 	Redirect Contact Sender contains invalid words 	Контакт відправника переадресації містить неприпустимі слова
20000301733 	Redirect Error saving contact sender 	Помилка перенаправлення при збереженні контакту відправника
20000301734 	Redirect RecipientContactName contains less than 2 words 	Ім'я контакта отримувача переадресації містить менше 2 слів
20000301735 	Redirect RecipientContactName contains repeated words 	Контакт відправника переадресації містить повторювані слова
20000301736 	Redirect RecipientContactName contains incorrect symbols 	Ім'я контакта отримувача переадресації містить невірні символи
20000301737 	Redirect RecipientContactName starts with incorrect symbols 	Ім'я контакта отримувача переадресації починається з неправильних символів
20000301738 	Redirect RecipientContactName ends with incorrect symbols 	Ім'я контакта отримувача переадресації закінчується невірними символами
20000301739 	Redirect RecipientContactName contains repeatting symbols 	Ім'я контакта отримувача переадресації містить повторювані символи
20000301740 	Redirect RecipientContactName contains invalid words 	Ім'я контакта отримувача переадресації містить неприпустимі слова
20000301741 	Redirect RecipientPhone must be mobile phone 	Телефон одержувача перенаправлення повинен бути мобільним.
20000301742 	Redirect SendersPhone in document must be mobile phone 	Перенаправити відправників Телефон в документі повинен бути мобільним.
20000201744 	Cash payment sum is too big 	Сума платежу готівкою занадто велика
20000201745 	Contact Sender contains less than 2 words 	Контактний відправник містить менше 2 слів
20000201746 	Contact Sender contains repeated words 	ПІБ Відправника містить повторювані слова
20000201747 	Contact Sender contains incorrect symbols 	ПІБ Відправника містить невірні символи
20000201748 	Contact Sender starts with incorrect symbols 	ПІБ Відправника починається з неправильних символів
20000201749 	Contact Sender ends with incorrect symbols 	ПІБ Відправника закінчується неправильними символами
20000201750 	Contact Sender contains repeatting symbols 	ПІБ Відправника містить повторювані символи
20000201751 	Contact Sender contains invalid words 	ПІБ Відправника містить неприпустимі слова
20000201752 	Error saving contact sender 	Помилка при збереженні контакту відправника
20000201753 	RecipientCityName can not be empty with param Latin 	Назва міста-одержувача не може бути порожньою або латиницею
20000201754 	RecipientCityName can not be only numbers 	Назва міста-одержувача не може бути тільки цифрами
20000201755 	RecipientAddressName can not be empty with param Latin 	Назва адреси одержувача не може бути порожнім з параметром Latin
20000201756 	RecipientAddressName can not be only numbers 	Назва адреси одержувача не може бути тільки цифрами
20000201757 	RecipientContactName contains less than 2 words 	Ім'я контакту одержувача містить менше 2 слів
20000201758 	RecipientContactName contains repeated words 	Ім'я контакту одержувача містить повторювані слова
20000201759 	RecipientContactName contains incorrect symbols 	Ім'я контакту одержувача містить неправильні символи
20000201760 	RecipientContactName starts with incorrect symbols 	Ім'я контакту одержувача починається з неправильних символів
20000201761 	RecipientContactName ends with incorrect symbols 	Ім'я контакту одержувача закінчується неправильними символами
20000201762 	RecipientContactName contains repeatting symbols 	Ім'я контакту одержувача містить повторювані символи
20000201763 	RecipientContactName contains invalid words 	Ім'я контакту одержувача містить неприпустимі слова
20000201764 	Contact Recipient contains less than 2 words 	ПІБ Отримувача містить менше 2 слів
20000201765 	Contact Recipient contains repeated words 	ПІБ Отримувача містить повторювані слова
20000201766 	Contact Recipient contains incorrect symbols 	ПІБ Отримувача містить неправильні символи
20000201767 	Contact Recipient starts with incorrect symbols 	ПІБ Отримувача починається з неправильних символів
20000201768 	Contact Recipient ends with incorrect symbols 	ПІБ Отримувача закінчується неправильними символами
20000201769 	Contact Recipient contains repeatting symbols 	ПІБ Отримувача містить повторювані символи
20000201770 	Contact Recipient contains invalid words 	ПІБ Отримувача містить неприпустимі слова
20000201771 	Error saving contact Recipient 	Помилка при збереженні контактного одержувача
20000201772 	ContactSender From Warehouse must be full 	ПІБ Відправника заповнено не повністю
20000201773 	ContactSender To Doors must be full 	ПІБ Відправника заповнено не повністю
20000201774 	ContactRecipient To Doors must be full 	ПІБ Отримувача заповнено не повністю
20000201775 	RecipientsPhone To Doors must be correct mobile number 	Одержувач для технології доставки до дверей повинен мати коректний номер мобільного телефону.
20000201776 	ContactSender for Afterpayment must be full 	ПІБ Відправника заповнено не повністю
20000201777 	ContactRecipient for Afterpayment must be full 	ПІБ Отримувача заповнено не повністю
20000201778 	RecipientsPhone for Afterpayment must be correct mobile number 	Для оформлення відправлення з післяоплатою необхідно вказати для Отримувача мобільний номер телефону
20000201779 	Sender counterparty is empty 	Контрагент відправника порожній
20000201780 	CounterpartyAfterPayment is unavailable 	Контрагент після оплати недоступний
20000201781 	EDRPOU for CounterpartyAfterPayment is empty 	ЄДРПОУ для контрагента після оплати порожній
20000201782 	EDRPOU for CounterpartyAfterPayment is invalid 	ЄДРПОУ для контрагента після оплати недійсний
20000201783 	BackwardDelivery CargoType with Cash PaymentMethod and Recipient PayerType is not allowed for recipient city 	Зоротна доставка із оплатою готівкою одержувачем заборонений для міста одержувача
20000201784 	ContactSender for money transfer must be full 	ПІБ Відправника заповнено не повністю
20000201785 	ContactRecipient for money transfer to doors must be full 	ПІБ Отримувача заповнено не повністю
20000201786 	SendersPhone for money transfer must be correct mobile number 	Телефон відправника для грошового переказу повинен бути правильним номером мобільного телефону
20000201787 	RecipientsPhone for money transfer must be correct mobile number 	Телефон одержувача для грошового переказу повинен бути правильним номером мобільного телефону.
20000201788 	SendersPhone cannot be equal to RecipientsPhone 	Телефон відправника не може дорівнювати телефону отримувача
20000201789 	AreaIndex should be 5 or 6 digits 	Індекс області повинен складатися з 5 або 6 цифр.
20000101790 	Error getting Loyalty card data 	Помилка при отриманні даних картки лояльності
20000101791 	Loyalty card data has errors 	В даних картки лояльності є помилки
40000101792 	User has been updated 	Користувач оновлений
20000301793 	По ЕН наявна онлайн-оплата. При наявній онлайн-оплаті заборонена переадресація Відправником. 	По ЕН наявна онлайн-оплата. При наявній онлайн-оплаті заборонена переадресація Відправником.
20000201794 	BackwardDeliveryMoney to payment card is temporary blocked 	Зворотня доставка грошей на карту, тимчасово заблокована
20001701795 	Service temporarily unavailable 	Сервіс тимчасово не працює
20000201797 	RecipientAddress temporary unavailable 	Адреса одержувача тимчасово недоступний
30000101798 	Password incorrect. Try restore password. 	Неправильний пароль. Спробуйте відновити пароль.
20000101799 	Use the card number to restore access 	На цей номер телефону зареєстровано декілька карток клієнта. Будь ласка, зверніться до колл-центру, щоб видалити зайву: 0-800-500-609
20000501800 	Address is belong to warehouse 	Адреса належить складу
20000401801 	timeInterval is incorrect 	Часовий інтервал неправильний
20000401802 	Pickup service is unavailable on selected day 	Послуга самовивозу недоступна в обраний день
20000401803 	Today all time intervals for pickup are unavailable 	Сьогодні всі тимчасові інтервали для самовивозу недоступні
20000401804 	Select another day for courier pickup 	Виберіть інший день для отримання кур'єром
20000401805 	Only JWT identification 	Тільки ідентифікація JWT
20000401806 	Text is empty 	Текст порожній
20000401807 	Text is very long 	Текст дуже довгий
20000401808 	Client is debtor in the "Pay later" service, need pay off debts. 	Клієнт є боржником в послузі «Оплатити пізніше», йому необхідно погасити борги.
40000401809 	There is no available time intervals through the day 	Немає доступних тимчасових інтервалів протягом дня
20000801810 	Loyalty user can not delete contact person 	Користувач програми лояльності не може видалити контактну особу
30000901811 	EDRPOU does not exist in system. Counterparty created without EDRPOU! 	ЄДРПОУ не існує в системі. Контрагент створений без ЄДРПОУ!
20000201812 	param OptionsSeat required 	Параметри місць не заповнено
20000201813 	SeatsAmount is not equal of count OptionsSeat 	Кількість місць: кількість не дорівнює кількості.
20000201814 	params OptionsSeat: volumetricHeight, volumetricWidth, volumetricLength - required 	Не вказано параметри кожного місця відправлення
20000201815 	params OptionsSeat: Cost, Description - required for all seats 	Параметри місць - оголошена вартість та опис відправлення не заповнені
20000201816 	RecipientCity not found by Settlement 	Місто одержувача не знайдено
20000201817 	Incorrect Recipient City found 	Знайдено неправильне місто одержувача
20000201818 	Cost invalid 	Вартість недійсна
20000201819 	SameDayDelivery is unavailable for ServiceType WarehouseWarehouse 	Доставка в той же день недоступна для типу послуги Відділення-Відділення
20000201820 	ContactSender for Afterpayment must have FirstName and LastName 	Відправник для Контролю оплати повинен мати ім'я і прізвище.
20000201821 	ContactRecipient for Afterpayment must have FirstName and LastName 	ПІБ Отримувача заповнено не повністю
20000201822 	ContactRecipient for money transfer to doors must have FirstName and LastName 	ПІБ Отримувача заповнено не повністю
30000201823 	Cost changed 	Вартість змінена
20000101824 	Can't change data of card 	Не можу змінити дані карти
20000101825 	Can't change status of card 	Неможливо змінити статус карти
20000101826 	Unclosed documents found 	Оновлення заборонено. Знайдено не отримані посилки.
20000101827 	User doesn't have loyalty card 	Користувач не має картки лояльності
20000101828 	Card doesn't belong to this user 	Карта не належить цьому користувачу
20000101829 	User doesn't have standart loyalty cards 	Користувач не має стандартних карт лояльності
20000101830 	Card is not in subjected cart list of this use 	Картки немає в списку кошика для цього використання
20000101831 	FirstName is empty 	Ім'я порожнє
20000101832 	FirstName is incorrect 	Ім'я некоректне
20000101833 	MiddleName is empty 	По батькові не вказано
20000101834 	MiddleName is incorrect 	По батькові вказано некоректно
20000101837 	DateTimeFrom is empty 	Дата з порожня
20000101838 	DateTimeFrom is incorrect 	Дата з неправильна
20000101839 	DateTimeTo is empty 	Дата до порожній
20000101840 	DateTimeTo is incorrect 	Дата до невірний
40000101841 	Loyalty card data successfully changed 	Дані карти лояльності успішно змінені
20001701842 	PayerType incompatible 	Тип платника несумісний
20001701843 	PaymentMethod incompatible 	Спосіб оплати несумісний
20001701844 	LoyaltyCard Info not found 	Інформація про карту лояльності не знайдено
20001701845 	Document data not found 	Дані документа не знайдені
20001301846 	PrintOrientation is invalid 	Неправильна орієнтація друку
20000301847 	Doors return available only in Warehouse 	Повернення дверей доступний тільки на складі
20000201886 	It is forbidden to send Cash to the warehouse of Drop-Off with PayerType Recipient 	Заборонено відправляти за готівку на склад Drop-Off з типом платника - одержувач.
20000301849 	Express Waybill document not found 	Документ експрес-накладної не знайдено
20000301850 	Write new address for redirection 	Напишіть нову адресу для перенаправлення
20000301851 	Redirecting is forbidden for warehouse of Drop-Off! 	На склад Drop-Off перенаправлення заборонено!
20000301852 	Specify a new shipping address 	Вкажіть нову адресу доставки
20000501853 	Error updating City Ref 	Помилка оновлення ідентифікатора міста
20000401854 	Code and Date are empty 	Код і дата порожні
20000401855 	Code is incorrect 	Код вказано неправильно
20000401856 	Date is incorrect 	Дата неправильна
20000801857 	Search value must be more than three symbols 	Значення пошуку повинно бути більше трьох символів
20000901858 	CounterpartyRef invalid 	Ідентифікатор контрагента недійсний
20000901859 	Counterparty was not found 	Контрагента не знайдено
20000901860 	Counterparty is private person 	Контрагент - фізична особа
20000901862 	Sender counterparty not found 	Контрагент відправника не знайдено
20000901863 	Has no attorneys for sender counterparty 	Не має адвокатів контрагента-відправника
20000901864 	Attorney does not belong to user counterparty 	Повірений не належить контрагенту користувача
40000901865 	Has no data 	Немає даних
20000201866 	apply promocode error, try again later 	Помилка застосування промокоду, спробуйте ще раз пізніше
20000201867 	apply promocode denied 	Застосувати промокод не вдалося
20000201868 	PartialReturn available only for Warehouse 	Часткове повернення доступне тільки для складу
20000201869 	PartialReturn not available for Postomat 	Часткове повернення недоступне для типу доставки до Поштомату
20000201870 	PartialReturn available only for 1 place 	Часткове повернення доступне тільки для 1 місця
20000201871 	PartialReturn available only under 5 kg 	Часткове повернення доступне тільки до 5 кг
20000201872 	PartialReturn available only for Cargo, Parcel 	Часткове повернення доступне тільки для вантажу, посилки
20000201873 	DocumentNumber invalid 	Номер документу недійсний
20000201874 	Promocode required 	Введіть номер промокоду
20000201875 	AddressDefinition value is incorrect 	Неправильне значення визначення адреси
20000201876 	InternationalZipCode format is incorrect 	Формат міжнародного поштового індексу неправильний
20000201877 	Incoterm is incorrect 	Інтерком неправильний
20000201878 	Currency is incorrect 	Валюта вказана неправильно
20000201879 	GoodsMeasure is incorrect 	Вимір товару невірний
20000201880 	GoodsQuantity is incorrect 	Кількість товарів неправильна
20000201881 	InternationalServiceType is incorrect 	Неправильний тип міжнародної послуги
20000201882 	It is forbidden to send an order from the warehouse of Drop-Off! 	Відправляти замовлення зі складу Drop-Off заборонено!
20000201883 	It is forbidden to send an order to the warehouse of Drop-Off! 	Відправляти замовлення на склад Drop-Off заборонено!
20000201884 	It is allowed to send order to warehouse of Drop-Off only with CargoType "Documents" or "Parcel" 	Відправляти замовлення на склад Drop-Off можна тільки з типом «Документи» або «Посилка».
20000201885 	It is allowed to send order to warehouse of Drop-Off only with Cost < 15000 	Відправляти замовлення на склад Drop-Off дозволяється тільки вартістю <15000.
20000201887 	It is forbidden to send order to the warehouse of Drop-Off with this additional service 	Забороняється відправляти замовлення на склад Drop-Off з даної додатковою послугою.
20000201888 	PartialReturn disabled 	Часткове повернення відключено
20000201889 	Empty PartialReturnGoods 	Товари для часткового повернення не заповнені
20000201890 	Invalid PartialReturnGoods 	Недійсний часткове повернення товару
20000201891 	Max 10 goods allowed 	Допускається не більше 10 товарів
20000201892 	Barcodes must be unique 	Штрих-коди повинні бути унікальними
20000201894 	PartialReturn Goods sum not equals AfterpaymentOnGoodsCost 	Сума часткового повернення товару не дорівнює післяплаті за вартістю товару
20000201895 	Goods must be array 	Товар повинен бути масивом
20000201896 	OriginalDimensionalWeight is invalid 	Вихідний розмірна вага недійсна
20000201897 	OriginalActualWeight is invalid 	Оригінальна фактична вага недійсна
20000101898 	Exceeded number of attempts to enter the activation code. Try to repeat the procedure in an hour 	Перевищено кількість спроб введення коду активації. Спробуйте повторити процедуру через годину
20000101899 	Wrong phone number 	Неправильний номер телефону
20000101900 	Exhausted the number of sent Sms. Use code from sms or try later. 	Ви вичерпали свій ліміт SMS за день. Використовуйте один із кодів направлених раніше.
20000101901 	Too many error activations. Try re-registration later. 	Занадто багато помилкових активацій. Спробуйте перереєструватися пізніше.
20000101902 	Exceeded number of attempts to enter the activation code 	Перевищено кількість спроб введення коду активації
20000101903 	Exceeded number of attempts to enter the activation code. 	Перевищено кількість спроб введення коду активації.
20000101904 	You must update the application to the latest version 	Ви повинні оновити додаток до останньої версії
20001501905 	AddressInternetRef required 	Потрібен ідентифікатор інтернет адреси
20001501907 	CounterpartyRef required 	CounterpartyRef не вказано
20001501908 	AddressInternet not found 	Інтернет адреса не знайдена
20000301914 	Відправник не може бути платником 	Відправник не може бути платником
20000301915 	Можливе подовження терміну зберігання на '.$posibility->RenewalStorageRecipient.' днів. 	Можливе подовження терміну зберігання на '.$posibility->RenewalStorageRecipient.' днів.
20000301916 	Invalid Customer 	Послуга через обраний канал оформлення доступна тільки Отримувачу
20000301918 	Service not available 	Послуга недоступна
20000201939 	Cost calculate error 	Не вдалося зберегти ЕН
20000101943 	Incorrect login or password 	Некоректний логін або пароль
20000901955 	Sender address not found 	Адресу відправника не знайдено
20000901957 	Recipient address not found 	Адресу отримувача не знайдено
20000201961 	No Services allowed 	Сервіси на даний момент недоступні. Будь ласка, спробуйте ще раз
20000201985 	Error occured 	Помилка відправлення
20000201987 	BackwardDelivery CargoType with Cash PaymentMethod and Recipient is not allowed 	Не дозволений Тип вантажу Зворотної доставки за готівковий розрахунок Отримувачем
20000201989 	InfoRegClientBarcodes required 	Вкажіть внутрішній номер відправлення
20000202003 	RedBoxBarcode is incorrect 	Штрих-код redBOX не валідний
20000202004 	RedBoxBarcode was used in another InternetDocument 	Номер штрих-коду redBOX вже використано в іншій накладній
20000202005 	RedBoxBarcode not found 	Штрих-код не знайдено
20000202006 	RedBoxBarcode expired 	 
20000202007 	RedBox not found by Barcode 	Штрих-код не знайдено
20002202036 	This phone number has no favourite warehouse 	У користувача з таким номером телефону немає улюблених відділень
20002202037 	This phone doesn't has favorite warehouse 	У користувача з таким номером телефону немає улюблених відділень
20000302038 	Вага відправлення перевищує максимально дозволену для вказаного відділення. Оберіть інше найближче відділення, що відповідає вимогам прийому. 	Вага відправлення перевищує максимально дозволену для вказаного відділення. Оберіть інше найближче відділення, що відповідає вимогам прийому.
20000302039 	На підставі вказаної ЕН створено Замовлення на переадресування. Оформити переадресування повторно неможливо. 	На підставі вказаної ЕН створено Замовлення на переадресування. Оформити переадресування повторно неможливо.
20000302040 	Мобільний номер відправника блокувався протягом останніх 7-ми днів. З метою застереження шахрайства, для оформлення переадресації зі зміною даних в ЕН, зверніться, будь ласка, до відділення з документом, що посвідчує Вашу особу. 	Мобільний номер відправника блокувався протягом останніх 7-ми днів. З метою застереження шахрайства, для оформлення переадресації зі зміною даних в ЕН, зверніться, будь ласка, до відділення з документом, що посвідчує Вашу особу.
20001502042 	Error saving address relations 	Помилка збереження адресних відносин
20000502044 	Street not defined 	Вулицю не знайдено
20001902137 	AdditionalInformation is invalid 	Додаткова інформація недійсна
20001902138 	AdditionalInformation is too long 	Додаткова інформація надто довга
20002102156 	Error on saving Recipient 	Помилка збереження одержувача
20002102157 	Error saving invoice place info 	Помилка при збереженні інформації про місце рахунку
20002102158 	Error saving cargo place info 	Помилка збереження інформації про місце вантажу
20002102159 	City not found for CityOfResidenceSender 	Не знайдено місто проживання відправника
20002102160 	No street for address creation 	Немає вулиці для створення адреси
20002102161 	Error saving Address 	Помилка збереження адреси
20002102162 	This file type is not allowed 	Цей тип файлу заборонено
20002102163 	Error saving files 	Помилка збереження файлу
20002102164 	Counterparty sender not found 	Контрагента Відправника не знайдено
20002102165 	ContactPerson Sender not found by ref 	По ідентифікатору не знайдено контактну особу відправника
20002102166 	Address Of Residence Sender not found by ref 	Адреса місця проживання відправника не знайдена за ідентифікатором
20002102167 	WarehouseSender not found 	Не знайдено відділення
20002102168 	Error external save document 	Помилка збереження документа
20002102169 	Error saving external document data 	Помилка збереження даних зовнішнього документа
20002102170 	Document already deleted 	Документ уже видалено
20002102171 	Error external delete document 	Помилка видалення зовнішнього документа
20002102172 	Error deleting document 	Помилка видалення документу
20002102173 	Document not found by Ref 	Документ не знайдено по ідентифікатору
20002102174 	Counterparty Sender not found 	Контрагента Відправника не знайдено
20002102175 	Contact Person Sender not found 	Контактна особа Відправника не знайдена
20002102176 	Warehouse City Sender not found 	Відділення в місті відправника не знайдено
20002102177 	Warehouse Sender not found 	ВІдділення відправника не знайдено
20002102178 	CityOfResidence Sender not found 	Місто проживання Відправника не знайдено
20002102179 	AddressSender not found 	Адресу відправника не знайдено
20002102180 	SettlementStreet not found by street 	Вулицю не знайдено в населеному пункті
20002102181 	Country not found 	Країна не знайдена
20002102182 	Countries not found 	Країни не знайдено
20002102183 	Units not found 	Одиниці виміру не знайдені
20002102184 	Recipient save error 	Помилка збереження одержувача
20002102185 	Recipients not found 	Отримувача не знайдено
20002102186 	Calculate cost error occurred 	Сталася помилка розрахунку вартості
20002102187 	Country not found by parameters 	Країна не знайдена за параметрами
20002102188 	DocumentNumber is incorrect 	Неправильний номер документа
20002102189 	International Document not found 	Міжнародний документ не знайдено
20002102190 	International Document is already deleted 	Міжнародний документ вже видалено
20002102191 	Documents is not correct 	Документи неправильні
20002102192 	Documents must not be more than 100 items 	Документи не повинні містити більше 100 найменувань
20002102193 	Counterparty Sender not found by ref 	Контрагента Відправника не знайдено по ідентифікатору
20002102194 	Document Ref is empty 	Посилання на документ порожнє
20002102195 	Document Ref is invalid 	Посилання на документ недійсне
20002102196 	DateTime has invalid format 	Дата створення має неправильний формат
20002102197 	Description contains more than 255 characters 	Опис містить більше 255 символів
20002102198 	ContactPerson is incorrect 	Контактна особа невірна
20002102199 	ContactPerson can not be less than two words 	Поле "Прізвище" або "Ім'я" не містить букв
20002102200 	ContactPerson contains more than 255 characters 	Контактна особа містить більше 255 символів
20002102201 	ZipCode is incorrect 	Поштовий індекс невірний
20002102202 	ZipCode contains more than 36 characters 	Поштовий індекс містить більше 36 символів
20002102203 	CountryRef is incorrect 	Ідентифікатор Країни невірний
20002102204 	Country not found by Ref 	Країна не знайдена по ідентифікатору
20002102205 	Warehouse not found by Ref in selected Country 	Відділення не знайдено по ідентифікатору у вибраній країні
20002102206 	CityDescription is incorrect 	Поле "Населений пункт" не може починатися з цифр або містити тільки цифри
20002102207 	CityDescription contains more than 255 characters 	Опис поля Місто містить більше 255 символів
20002102208 	AddressDescription is incorrect 	Поле "Тип та назва вулиці" не може починатися з цифр або містити тільки цифри
20002102209 	AddressDescription contains more than 255 characters 	Опис поля Адреса містить більше 255 символів
20002102210 	AddressDescription must have at least one delimiter 	Опис адреси повинен мати принаймні один роздільник
20002102211 	CounterpartySender is incorrect 	Контрагент відправник вказан невірно
20002102212 	DeliveryType is incorrect 	Неправильний тип доставки
20002102213 	ShipmentType is incorrect 	Неправильний тип вантажу
20002102214 	PickupCountry is incorrect 	Вибір країни невірний
20002102215 	DeliveryCountry is incorrect 	Країна доставки неправильна
20002102216 	Promocode is incorrect 	Промокод неправильний
20002102217 	Parcels is incorrect 	Параметр Посилки має бути заповненим
20002102218 	Weight limit 	Обмеження ваги
20002102219 	VolumeWeight limit 	Обмеження по об'ємній вазі
20002102220 	Direction is incorrect 	Напрямок неправильний
20002102221 	AttachedDocumentTypeRef is incorrect 	Ідентифікатор типу вкладеного документа є неправильним
20002102222 	Extension is incorrect 	Розширення неправильне
20002102223 	Invalid FileSource 	Недійсне джерело файлу
20002102224 	FileSource is larger than allowed 	Джерело файлу більше допустимого
20002102225 	Invalid base64 FileSource 	Недійсне джерело файлу
20002102226 	WarehouseNumber is incorrect 	Номер відділення некоректний
20002102227 	CountryCode is incorrect 	Код країни неправильний
20002102228 	CountryCode is not specified 	Код країни не вказаний
20002102229 	CounterpartySender is invalid 	Неправильний контрагент відправника
20002102230 	ContactPersonSender is empty 	Не заповнені дані контактної особи
20002102231 	ContactPersonSender not found 	Не знайдена контактна особа відправника
20002102232 	PhoneSender is empty 	Не заповнено поле "Номер телефона"
20002102233 	PhoneSender is invalid format 	Не правильний формат телефону
20002102234 	PhoneSender must be mobile number 	Телефон відправника повинен бути номером мобільного телефону
20002102235 	EmailSender is empty 	Не заповнено поле "E-mail"
20002102236 	EmailSender has invalid format 	Невірний формат E-mail
20002102237 	WarehouseSender and CitySender with FromWarehouse param must be filled 	Для відправлень "З відділення" потрібно заповнити склад відправника та місто відправника
20002102238 	WarehouseSender is invalid 	Невірний формат відділення
20002102239 	ZipCodeOfResidenceSender is empty 	Не заповнено поле "Індекс"
20002102240 	ZipCodeOfResidenceSender should be 5 digits 	Індекс повинен містити 5 цифр
20002102241 	CityOfResidenceSender is empty 	Не заповнено поле "Місто"
20002102242 	CityOfResidenceSender is invalid 	Невірний формат міста
20002102243 	CityOfResidenceSender not found 	Населений пункт не знайдено
20002102244 	CounterpartySenderStreetRef must be filled without StreetsAvailability 	Ідентифікатор вулиці контрагента відправника маж бути заповненим без наявності вулиць
20002102245 	CounterpartySenderStreetRef is empty 	Не заповнено поле "Вулиця" відправника
20002102246 	CounterpartySenderStreetRef is invalid 	Неправильний формат ідентифікатор вулиці відправника
20002102247 	CounterpartySenderStreetRef not found 	Вулиця відправника по ідентифікатору не знайдена
20002102248 	CounterpartySenderHouse is empty 	Не заповнено поле "Будинок"
20002102249 	CounterpartySenderHouse is incorrect 	Неправильний формат поля "Будинок"
20002102250 	SenderFlat is incorrect 	Неправильний формат поля "Квартира"
20002102251 	CounterpartyRecipientRef is invalid 	Ідентифікатор отримувача недійсний
20002102252 	International CounterpartyRecipient not found 	Міжнародного контрагента Одержувача не знайдено
20002102253 	PhoneRecipient is empty 	Не заповнено поле "Телефон отримувача"
20002102254 	PhoneRecipient is incorrect 	Неправильний формат номеру телефону
20002102255 	EmailRecipient is empty 	Не заповнено поле "E-mail"
20002102256 	EmailRecipient has invalid format 	Неправильний формат E-mail отримувача
20002102257 	CounterpartyTypeRecipient is invalid 	Неправильний тип контрагента-отримувача
20002102258 	CounterpartyRecipient cannot be empty for Organization 	Не заповнено поле "Назва контрагента"
20002102259 	CounterpartyRecipient has invalid characters 	Поле "Назва контрагента" містить заборонені символи
20002102260 	CounterpartyRecipientLastName is empty 	Не заповнено поле "Ім`я"
20002102261 	CounterpartyRecipientFirstName is empty 	Не заповнено поле "Прізвище"
20002102262 	ContactPersonRecipient Full Name is too long 	Значення поля "Назва контрагента" завелике
20002102263 	ZipCodeRecipient is empty 	Не заповнено поле "Індекс"
20002102264 	ZipCodeRecipient has invalid characters 	Поле "Індекс" містить заборонені символи
20002102265 	CountryRecipient is empty 	Не заповнено поле "Країна"
20002102266 	CountryRecipient is invalid 	Неправильний формат країни
20002102267 	CountryRecipient not found 	Країна не знайдена
20002102268 	CountryRecipient not allowed for export 	В обрану країну доставка не здійснюється
20002102269 	CityRecipient is empty 	Не заповнено поле "Населений пункт"
20002102270 	CityRecipient has invalid characters 	Поле "Населений пункт" містить заборонені символи
20002102271 	CityRecipient too long 	Значення поля "Населений пункт" завелике
20002102272 	Transliterated CityRecipient too long 	Переклад значення поля "Населений пункт" завелике
